song_names,artists,artists_id,albums,time_played,duration_ms,track_ids,albums_image,id,genres
sw1n6o ; feat. Salmo,thasup,19i93sA0D7yS9dYoVNBqAA,23 6451,2023-02-16 17:16,184037,76RvHRIMHDT0CcifsIHzQY,https://i.scdn.co/image/ab67616d00001e0258010f854f0b1052a934500f,0z3v96iyxiboop7dngb52qob0,['italian hip hop'; 'italian pop'; 'trap italiana']
Vivo,Levante,5mTg1ztZByLRHsOEtwmT4G,Vivo,2023-02-16 17:20,201425,3ohY8vvPOrkBUM5LivS0Cg,https://i.scdn.co/image/ab67616d00001e025acc437edb8278b096ead849,0z3v96iyxiboop7dngb52qob0,['italian adult pop'; 'italian indie pop'; 'italian pop'; 'turin indie']
Tikibombom,Levante,5mTg1ztZByLRHsOEtwmT4G,Magmamemoria MMXX (Deluxe Edition),2023-02-16 17:23,203133,4JNT4VElmvNmJaQUhwPzg9,https://i.scdn.co/image/ab67616d00001e029b64443f24494caee0d7c9d4,0z3v96iyxiboop7dngb52qob0,['italian adult pop'; 'italian indie pop'; 'italian pop'; 'turin indie']
Non me ne frega niente,Levante,5mTg1ztZByLRHsOEtwmT4G,Nel Caos Di Stanze Stupefacenti,2023-02-16 17:29,189400,2YDvzucThbIrpc2W13KIzk,https://i.scdn.co/image/ab67616d00001e0250d4ef59f2d398394b15ecd3,0z3v96iyxiboop7dngb52qob0,['italian adult pop'; 'italian indie pop'; 'italian pop'; 'turin indie']
Gesù Cristo sono io,Levante,5mTg1ztZByLRHsOEtwmT4G,Nel Caos Di Stanze Stupefacenti,2023-02-16 17:33,193733,25ABcGmGKZl4Y7cOhO2sOC,https://i.scdn.co/image/ab67616d00001e0250d4ef59f2d398394b15ecd3,0z3v96iyxiboop7dngb52qob0,['italian adult pop'; 'italian indie pop'; 'italian pop'; 'turin indie']
212,Azealia Banks,7gRhy3MIPHQo5CXYfWaw9I,Broke with Expensive Taste,2023-02-16 17:36,204956,16EMONl2vH3rt9f4ehTG8g,https://i.scdn.co/image/ab67616d00001e02b5efe29cb31508624b9f59d5,0z3v96iyxiboop7dngb52qob0,['alternative r&b'; 'dance pop'; 'escape room'; 'hip house'; 'lgbtq+ hip hop'; 'pop'; 'trap queen']
Count Contessa,Azealia Banks,7gRhy3MIPHQo5CXYfWaw9I,Count Contessa,2023-02-16 17:40,303230,5qc9oEjMRZvdECu3g5vU8P,https://i.scdn.co/image/ab67616d00001e02e271c649ef92d73d64f0716d,0z3v96iyxiboop7dngb52qob0,['alternative r&b'; 'dance pop'; 'escape room'; 'hip house'; 'lgbtq+ hip hop'; 'pop'; 'trap queen']
Mi manchi,Levante,5mTg1ztZByLRHsOEtwmT4G,Opera Futura,2023-02-17 11:36,194117,4afB6BjQFLMH50pwQxpSaZ,https://i.scdn.co/image/ab67616d00001e02c6853b78a4cafb349c372cb4,0z3v96iyxiboop7dngb52qob0,['italian adult pop'; 'italian indie pop'; 'italian pop'; 'turin indie']
Fa male qui,Levante,5mTg1ztZByLRHsOEtwmT4G,Opera Futura,2023-02-17 11:39,156689,1suVyxRjHXekhyPAlIM6kS,https://i.scdn.co/image/ab67616d00001e02c6853b78a4cafb349c372cb4,0z3v96iyxiboop7dngb52qob0,['italian adult pop'; 'italian indie pop'; 'italian pop'; 'turin indie']
Metro,Levante,5mTg1ztZByLRHsOEtwmT4G,Opera Futura,2023-02-17 11:42,157279,2qJrVnTqajvAWR1ImuqWEN,https://i.scdn.co/image/ab67616d00001e02c6853b78a4cafb349c372cb4,0z3v96iyxiboop7dngb52qob0,['italian adult pop'; 'italian indie pop'; 'italian pop'; 'turin indie']
Leggera,Levante,5mTg1ztZByLRHsOEtwmT4G,Opera Futura,2023-02-17 11:45,185169,5PqnteIl9gHFjsLcKtiOfg,https://i.scdn.co/image/ab67616d00001e02c6853b78a4cafb349c372cb4,0z3v96iyxiboop7dngb52qob0,['italian adult pop'; 'italian indie pop'; 'italian pop'; 'turin indie']
Alma Futura,Levante,5mTg1ztZByLRHsOEtwmT4G,Opera Futura,2023-02-17 12:59,213076,6jegGgwW1MilnwAvnhoORl,https://i.scdn.co/image/ab67616d00001e02c6853b78a4cafb349c372cb4,0z3v96iyxiboop7dngb52qob0,['italian adult pop'; 'italian indie pop'; 'italian pop'; 'turin indie']
Don’t Go,Skrillex,5he5w2lnU9x7JFhnwcekXX,Don’t Get Too Close,2023-02-19 09:26,168253,4pNlvXL8f51vWOOQ8lxCWV,https://i.scdn.co/image/ab67616d00001e02ff07469efd357665e364e2d9,0z3v96iyxiboop7dngb52qob0,['brostep'; 'complextro'; 'edm'; 'electro']
Don’t Get Too Close,Skrillex,5he5w2lnU9x7JFhnwcekXX,Don’t Get Too Close,2023-02-19 09:29,244285,3IbCVIJEnsiaDRedhFaWVG,https://i.scdn.co/image/ab67616d00001e02ff07469efd357665e364e2d9,0z3v96iyxiboop7dngb52qob0,['brostep'; 'complextro'; 'edm'; 'electro']
Michelle Pfeiffer (feat. Tony Effe),Rose Villain,2aya6KuqjXEhHBqYKsTPLs,Michelle Pfeiffer (feat. Tony Effe),2023-02-23 12:17,180774,1CGMJZj8kKIuK9kkO2TT7c,https://i.scdn.co/image/ab67616d00001e0245fe89a2dfbd0e009bf4d8a3,0z3v96iyxiboop7dngb52qob0,['italian hip hop'; 'milan indie']
sci@ll@ (feat. Tananai),thasup,19i93sA0D7yS9dYoVNBqAA,c@ra++ere s?ec!@le,2023-02-23 12:21,184794,53qZFgUIQKnFmdgsSDIYB1,https://i.scdn.co/image/ab67616d00001e0290160a76ca2d3f0c101037f5,0z3v96iyxiboop7dngb52qob0,['italian hip hop'; 'italian pop'; 'trap italiana']
BUBBLE (feat. thasup & Salmo),Takagi & Ketra,76UCIJTB0jcJvBaL0CdIqx,BUBBLE (feat. thasup & Salmo),2023-02-23 12:25,164327,3fIB4IEcvjlzItwnFUvIBk,https://i.scdn.co/image/ab67616d00001e02298c0e2c8d980a62c77c11be,0z3v96iyxiboop7dngb52qob0,['italian adult pop'; 'italian pop']
0ffline (feat. bbno$),thasup,19i93sA0D7yS9dYoVNBqAA,23 6451,2023-02-23 12:29,201094,6ZWsKJdmoYu1oFJbzCmtK9,https://i.scdn.co/image/ab67616d00001e0258010f854f0b1052a934500f,0z3v96iyxiboop7dngb52qob0,['italian hip hop'; 'italian pop'; 'trap italiana']
SOLITE PARE (feat. thasup & Sfera Ebbasta),Sick Luke,0hk4xVujcyOr6USD95wcWb,X2,2023-02-23 12:32,211660,0PQxC8NHgiKXLK3Zm6QoCj,https://i.scdn.co/image/ab67616d00001e02e45f97fc68a12ca3601b1047,0z3v96iyxiboop7dngb52qob0,['italian hip hop'; 'italian indie pop'; 'trap italiana']
Calling My Name,Drake,3TVXtAsR1Inumwj472S9r4,Honestly; Nevermind,2023-02-23 12:37,129964,7sT7kZEYd1MrmzLLIRVZas,https://i.scdn.co/image/ab67616d00001e028dc0d801766a5aa6a33cbe37,0z3v96iyxiboop7dngb52qob0,['canadian hip hop'; 'canadian pop'; 'hip hop'; 'rap'; 'toronto rap']
Sticky,Drake,3TVXtAsR1Inumwj472S9r4,Honestly; Nevermind,2023-02-23 12:41,243227,4rmVZajAF7PkrCagGPHbqa,https://i.scdn.co/image/ab67616d00001e028dc0d801766a5aa6a33cbe37,0z3v96iyxiboop7dngb52qob0,['canadian hip hop'; 'canadian pop'; 'hip hop'; 'rap'; 'toronto rap']
Massive,Drake,3TVXtAsR1Inumwj472S9r4,Honestly; Nevermind,2023-02-23 12:46,336924,28JBD8p18xNuOfyV7Cotdn,https://i.scdn.co/image/ab67616d00001e028dc0d801766a5aa6a33cbe37,0z3v96iyxiboop7dngb52qob0,['canadian hip hop'; 'canadian pop'; 'hip hop'; 'rap'; 'toronto rap']
8rosk1 ; feat. Mahmood,thasup,19i93sA0D7yS9dYoVNBqAA,23 6451,2023-02-23 13:27,171733,1QNKZT93PI9CZJ7FWFEinb,https://i.scdn.co/image/ab67616d00001e0258010f854f0b1052a934500f,0z3v96iyxiboop7dngb52qob0,['italian hip hop'; 'italian pop'; 'trap italiana']
no14 ; feat. Dani Faiv,thasup,19i93sA0D7yS9dYoVNBqAA,23 6451,2023-02-23 13:33,176440,6EGg8wngFbfTskeu05o6hM,https://i.scdn.co/image/ab67616d00001e0258010f854f0b1052a934500f,0z3v96iyxiboop7dngb52qob0,['italian hip hop'; 'italian pop'; 'trap italiana']
Rumble,Skrillex,5he5w2lnU9x7JFhnwcekXX,Rumble,2023-02-24 08:49,146571,1GfBLbAhZUWdseuDqhocmn,https://i.scdn.co/image/ab67616d00001e02352f154c54727bc8024629bc,0z3v96iyxiboop7dngb52qob0,['brostep'; 'complextro'; 'edm'; 'electro']
Again (feat. Ms. Dynamite; Ms Banks & Jaykae) ; Mixed,CLIPZ,6b0TSaLAeLXilOPoId8udE,Honey; I Shrunk The Rave; Vol. 1 (DJ Mix),2023-02-24 08:51,66278,0Rr4FEtOPThHlfr3unkm0S,https://i.scdn.co/image/ab67616d00001e02f07e05a5fa375695199951b5,0z3v96iyxiboop7dngb52qob0,['uk dnb']
Rumble,Skrillex,5he5w2lnU9x7JFhnwcekXX,Quest For Fire,2023-02-24 08:53,146571,74fmYjFwt9CqEFAh8ybeBD,https://i.scdn.co/image/ab67616d00001e0220fb9ff375c6e8b920cbb2ca,0z3v96iyxiboop7dngb52qob0,['brostep'; 'complextro'; 'edm'; 'electro']
Turn On The Lights again.. (feat. Future),Fred again..,4oLeXFyACqeem2VImYeBFe,USB,2023-02-24 08:58,267946,3pBpX15YF0hdlRz2ddfSh2,https://i.scdn.co/image/ab67616d00001e02f53460be9a3f788777b0fe5c,0z3v96iyxiboop7dngb52qob0,['edm'; 'house']
Delilah (pull me out of this),Fred again..,4oLeXFyACqeem2VImYeBFe,Actual Life 3 (January 1 ; September 9 2022),2023-02-24 09:06,250702,5w9upngVRHNjdZcRC7Xxr2,https://i.scdn.co/image/ab67616d00001e027622b889949b07f15c6b57e2,0z3v96iyxiboop7dngb52qob0,['edm'; 'house']
mar+e,thasup,19i93sA0D7yS9dYoVNBqAA,c@ra++ere s?ec!@le,2023-02-27 13:58,163816,1bQHZHNELY2uBOrOSRMXSr,https://i.scdn.co/image/ab67616d00001e0290160a76ca2d3f0c101037f5,0z3v96iyxiboop7dngb52qob0,['italian hip hop'; 'italian pop'; 'trap italiana']
okk@pp@,thasup,19i93sA0D7yS9dYoVNBqAA,c@ra++ere s?ec!@le,2023-02-27 14:00,142373,75vXpgRif6ZFOBemaQUTfu,https://i.scdn.co/image/ab67616d00001e0290160a76ca2d3f0c101037f5,0z3v96iyxiboop7dngb52qob0,['italian hip hop'; 'italian pop'; 'trap italiana']
b@by nel bed,thasup,19i93sA0D7yS9dYoVNBqAA,c@ra++ere s?ec!@le,2023-02-27 14:02,120440,73Pv4y14ADVQRmVL6FKpZt,https://i.scdn.co/image/ab67616d00001e0290160a76ca2d3f0c101037f5,0z3v96iyxiboop7dngb52qob0,['italian hip hop'; 'italian pop'; 'trap italiana']
w()ah,thasup,19i93sA0D7yS9dYoVNBqAA,c@ra++ere s?ec!@le,2023-02-27 14:05,163540,1hjmd711q5mJQmp6T0mdol,https://i.scdn.co/image/ab67616d00001e0290160a76ca2d3f0c101037f5,0z3v96iyxiboop7dngb52qob0,['italian hip hop'; 'italian pop'; 'trap italiana']
ye@h (feat. Shiva),thasup,19i93sA0D7yS9dYoVNBqAA,c@ra++ere s?ec!@le,2023-02-27 14:08,156616,2BkoXEOE6vvkOKVNjPax2B,https://i.scdn.co/image/ab67616d00001e0290160a76ca2d3f0c101037f5,0z3v96iyxiboop7dngb52qob0,['italian hip hop'; 'italian pop'; 'trap italiana']
cas!no nella m!a testa (feat. Salmo),thasup,19i93sA0D7yS9dYoVNBqAA,c@ra++ere s?ec!@le,2023-02-27 16:45,147106,18lJsd5w1ckiC8sebawPJA,https://i.scdn.co/image/ab67616d00001e0290160a76ca2d3f0c101037f5,0z3v96iyxiboop7dngb52qob0,['italian hip hop'; 'italian pop'; 'trap italiana']
sci@ll@ (feat. Tananai),thasup,19i93sA0D7yS9dYoVNBqAA,c@ra++ere s?ec!@le,2023-02-27 16:51,184794,53qZFgUIQKnFmdgsSDIYB1,https://i.scdn.co/image/ab67616d00001e0290160a76ca2d3f0c101037f5,0z3v96iyxiboop7dngb52qob0,['italian hip hop'; 'italian pop'; 'trap italiana']
m%n,thasup,19i93sA0D7yS9dYoVNBqAA,c@ra++ere s?ec!@le,2023-02-27 16:54,174360,1kbngfAC4VUm2Ybrohrmb6,https://i.scdn.co/image/ab67616d00001e0290160a76ca2d3f0c101037f5,0z3v96iyxiboop7dngb52qob0,['italian hip hop'; 'italian pop'; 'trap italiana']
mi @mi o è f@ke,thasup,19i93sA0D7yS9dYoVNBqAA,c@ra++ere s?ec!@le,2023-02-27 16:58,128266,3W2tsZcoDxmNQaw61Kz1rb,https://i.scdn.co/image/ab67616d00001e0290160a76ca2d3f0c101037f5,0z3v96iyxiboop7dngb52qob0,['italian hip hop'; 'italian pop'; 'trap italiana']
Flight's Booked,Drake,3TVXtAsR1Inumwj472S9r4,Honestly; Nevermind,2023-02-28 09:03,254407,6Yj7Zhxt73uvwFFvzQXdxO,https://i.scdn.co/image/ab67616d00001e028dc0d801766a5aa6a33cbe37,0z3v96iyxiboop7dngb52qob0,['canadian hip hop'; 'canadian pop'; 'hip hop'; 'rap'; 'toronto rap']
Falling Back,Drake,3TVXtAsR1Inumwj472S9r4,Honestly; Nevermind,2023-02-28 09:07,266178,1vbn9fEyw1IYhqgZJdu9ZB,https://i.scdn.co/image/ab67616d00001e028dc0d801766a5aa6a33cbe37,0z3v96iyxiboop7dngb52qob0,['canadian hip hop'; 'canadian pop'; 'hip hop'; 'rap'; 'toronto rap']
Overdrive,Drake,3TVXtAsR1Inumwj472S9r4,Honestly; Nevermind,2023-02-28 09:11,202451,7hRlTK3mgFTBEjX7DjqBsI,https://i.scdn.co/image/ab67616d00001e028dc0d801766a5aa6a33cbe37,0z3v96iyxiboop7dngb52qob0,['canadian hip hop'; 'canadian pop'; 'hip hop'; 'rap'; 'toronto rap']
A Keeper,Drake,3TVXtAsR1Inumwj472S9r4,Honestly; Nevermind,2023-02-28 09:13,173097,0nAZGkBGKQCXyaoSJfRhC1,https://i.scdn.co/image/ab67616d00001e028dc0d801766a5aa6a33cbe37,0z3v96iyxiboop7dngb52qob0,['canadian hip hop'; 'canadian pop'; 'hip hop'; 'rap'; 'toronto rap']
Sticky,Drake,3TVXtAsR1Inumwj472S9r4,Honestly; Nevermind,2023-02-28 09:17,243227,4rmVZajAF7PkrCagGPHbqa,https://i.scdn.co/image/ab67616d00001e028dc0d801766a5aa6a33cbe37,0z3v96iyxiboop7dngb52qob0,['canadian hip hop'; 'canadian pop'; 'hip hop'; 'rap'; 'toronto rap']
!ly (feat. Coez),thasup,19i93sA0D7yS9dYoVNBqAA,c@ra++ere s?ec!@le,2023-03-01 11:18,206494,1E1nbIsPDO1PdtQwsAKKF3,https://i.scdn.co/image/ab67616d00001e0290160a76ca2d3f0c101037f5,0z3v96iyxiboop7dngb52qob0,['italian hip hop'; 'italian pop'; 'trap italiana']
Texts Go Green,Drake,3TVXtAsR1Inumwj472S9r4,Honestly; Nevermind,2023-03-01 11:18,308820,4FIgHqXd4KkOwxrGeLDYM2,https://i.scdn.co/image/ab67616d00001e028dc0d801766a5aa6a33cbe37,0z3v96iyxiboop7dngb52qob0,['canadian hip hop'; 'canadian pop'; 'hip hop'; 'rap'; 'toronto rap']
Intro,Drake,3TVXtAsR1Inumwj472S9r4,Honestly; Nevermind,2023-03-01 13:13,36935,1kNdtonJXHorsVpWerK8C2,https://i.scdn.co/image/ab67616d00001e028dc0d801766a5aa6a33cbe37,0z3v96iyxiboop7dngb52qob0,['canadian hip hop'; 'canadian pop'; 'hip hop'; 'rap'; 'toronto rap']
A Keeper,Drake,3TVXtAsR1Inumwj472S9r4,Honestly; Nevermind,2023-03-01 16:00,173097,0nAZGkBGKQCXyaoSJfRhC1,https://i.scdn.co/image/ab67616d00001e028dc0d801766a5aa6a33cbe37,0z3v96iyxiboop7dngb52qob0,['canadian hip hop'; 'canadian pop'; 'hip hop'; 'rap'; 'toronto rap']
Down Hill,Drake,3TVXtAsR1Inumwj472S9r4,Honestly; Nevermind,2023-03-01 16:04,250864,3N3d4OWbPVxTQVBFqNyykk,https://i.scdn.co/image/ab67616d00001e028dc0d801766a5aa6a33cbe37,0z3v96iyxiboop7dngb52qob0,['canadian hip hop'; 'canadian pop'; 'hip hop'; 'rap'; 'toronto rap']
Texts Go Green,Drake,3TVXtAsR1Inumwj472S9r4,Honestly; Nevermind,2023-03-01 16:09,308820,4FIgHqXd4KkOwxrGeLDYM2,https://i.scdn.co/image/ab67616d00001e028dc0d801766a5aa6a33cbe37,0z3v96iyxiboop7dngb52qob0,['canadian hip hop'; 'canadian pop'; 'hip hop'; 'rap'; 'toronto rap']
Flight's Booked,Drake,3TVXtAsR1Inumwj472S9r4,Honestly; Nevermind,2023-03-01 20:49,254407,6Yj7Zhxt73uvwFFvzQXdxO,https://i.scdn.co/image/ab67616d00001e028dc0d801766a5aa6a33cbe37,0z3v96iyxiboop7dngb52qob0,['canadian hip hop'; 'canadian pop'; 'hip hop'; 'rap'; 'toronto rap']
sw1n6o ; feat. Salmo,thasup,19i93sA0D7yS9dYoVNBqAA,23 6451,2023-02-16 17:16,184037,76RvHRIMHDT0CcifsIHzQY,https://i.scdn.co/image/ab67616d00001e0258010f854f0b1052a934500f,0z3v96iyxiboop7dngb52qob0,['italian hip hop'; 'italian pop'; 'trap italiana']
Vivo,Levante,5mTg1ztZByLRHsOEtwmT4G,Vivo,2023-02-16 17:20,201425,3ohY8vvPOrkBUM5LivS0Cg,https://i.scdn.co/image/ab67616d00001e025acc437edb8278b096ead849,0z3v96iyxiboop7dngb52qob0,['italian adult pop'; 'italian indie pop'; 'italian pop'; 'turin indie']
Tikibombom,Levante,5mTg1ztZByLRHsOEtwmT4G,Magmamemoria MMXX (Deluxe Edition),2023-02-16 17:23,203133,4JNT4VElmvNmJaQUhwPzg9,https://i.scdn.co/image/ab67616d00001e029b64443f24494caee0d7c9d4,0z3v96iyxiboop7dngb52qob0,['italian adult pop'; 'italian indie pop'; 'italian pop'; 'turin indie']
Non me ne frega niente,Levante,5mTg1ztZByLRHsOEtwmT4G,Nel Caos Di Stanze Stupefacenti,2023-02-16 17:29,189400,2YDvzucThbIrpc2W13KIzk,https://i.scdn.co/image/ab67616d00001e0250d4ef59f2d398394b15ecd3,0z3v96iyxiboop7dngb52qob0,['italian adult pop'; 'italian indie pop'; 'italian pop'; 'turin indie']
Gesù Cristo sono io,Levante,5mTg1ztZByLRHsOEtwmT4G,Nel Caos Di Stanze Stupefacenti,2023-02-16 17:33,193733,25ABcGmGKZl4Y7cOhO2sOC,https://i.scdn.co/image/ab67616d00001e0250d4ef59f2d398394b15ecd3,0z3v96iyxiboop7dngb52qob0,['italian adult pop'; 'italian indie pop'; 'italian pop'; 'turin indie']
212,Azealia Banks,7gRhy3MIPHQo5CXYfWaw9I,Broke with Expensive Taste,2023-02-16 17:36,204956,16EMONl2vH3rt9f4ehTG8g,https://i.scdn.co/image/ab67616d00001e02b5efe29cb31508624b9f59d5,0z3v96iyxiboop7dngb52qob0,['alternative r&b'; 'dance pop'; 'escape room'; 'hip house'; 'lgbtq+ hip hop'; 'pop'; 'trap queen']
Count Contessa,Azealia Banks,7gRhy3MIPHQo5CXYfWaw9I,Count Contessa,2023-02-16 17:40,303230,5qc9oEjMRZvdECu3g5vU8P,https://i.scdn.co/image/ab67616d00001e02e271c649ef92d73d64f0716d,0z3v96iyxiboop7dngb52qob0,['alternative r&b'; 'dance pop'; 'escape room'; 'hip house'; 'lgbtq+ hip hop'; 'pop'; 'trap queen']
Mi manchi,Levante,5mTg1ztZByLRHsOEtwmT4G,Opera Futura,2023-02-17 11:36,194117,4afB6BjQFLMH50pwQxpSaZ,https://i.scdn.co/image/ab67616d00001e02c6853b78a4cafb349c372cb4,0z3v96iyxiboop7dngb52qob0,['italian adult pop'; 'italian indie pop'; 'italian pop'; 'turin indie']
Fa male qui,Levante,5mTg1ztZByLRHsOEtwmT4G,Opera Futura,2023-02-17 11:39,156689,1suVyxRjHXekhyPAlIM6kS,https://i.scdn.co/image/ab67616d00001e02c6853b78a4cafb349c372cb4,0z3v96iyxiboop7dngb52qob0,['italian adult pop'; 'italian indie pop'; 'italian pop'; 'turin indie']
Metro,Levante,5mTg1ztZByLRHsOEtwmT4G,Opera Futura,2023-02-17 11:42,157279,2qJrVnTqajvAWR1ImuqWEN,https://i.scdn.co/image/ab67616d00001e02c6853b78a4cafb349c372cb4,0z3v96iyxiboop7dngb52qob0,['italian adult pop'; 'italian indie pop'; 'italian pop'; 'turin indie']
Leggera,Levante,5mTg1ztZByLRHsOEtwmT4G,Opera Futura,2023-02-17 11:45,185169,5PqnteIl9gHFjsLcKtiOfg,https://i.scdn.co/image/ab67616d00001e02c6853b78a4cafb349c372cb4,0z3v96iyxiboop7dngb52qob0,['italian adult pop'; 'italian indie pop'; 'italian pop'; 'turin indie']
Alma Futura,Levante,5mTg1ztZByLRHsOEtwmT4G,Opera Futura,2023-02-17 12:59,213076,6jegGgwW1MilnwAvnhoORl,https://i.scdn.co/image/ab67616d00001e02c6853b78a4cafb349c372cb4,0z3v96iyxiboop7dngb52qob0,['italian adult pop'; 'italian indie pop'; 'italian pop'; 'turin indie']
Don’t Go,Skrillex,5he5w2lnU9x7JFhnwcekXX,Don’t Get Too Close,2023-02-19 09:26,168253,4pNlvXL8f51vWOOQ8lxCWV,https://i.scdn.co/image/ab67616d00001e02ff07469efd357665e364e2d9,0z3v96iyxiboop7dngb52qob0,['brostep'; 'complextro'; 'edm'; 'electro']
Don’t Get Too Close,Skrillex,5he5w2lnU9x7JFhnwcekXX,Don’t Get Too Close,2023-02-19 09:29,244285,3IbCVIJEnsiaDRedhFaWVG,https://i.scdn.co/image/ab67616d00001e02ff07469efd357665e364e2d9,0z3v96iyxiboop7dngb52qob0,['brostep'; 'complextro'; 'edm'; 'electro']
Michelle Pfeiffer (feat. Tony Effe),Rose Villain,2aya6KuqjXEhHBqYKsTPLs,Michelle Pfeiffer (feat. Tony Effe),2023-02-23 12:17,180774,1CGMJZj8kKIuK9kkO2TT7c,https://i.scdn.co/image/ab67616d00001e0245fe89a2dfbd0e009bf4d8a3,0z3v96iyxiboop7dngb52qob0,['italian hip hop'; 'italian indie pop'; 'milan indie']
sci@ll@ (feat. Tananai),thasup,19i93sA0D7yS9dYoVNBqAA,c@ra++ere s?ec!@le,2023-02-23 12:21,184794,53qZFgUIQKnFmdgsSDIYB1,https://i.scdn.co/image/ab67616d00001e0290160a76ca2d3f0c101037f5,0z3v96iyxiboop7dngb52qob0,['italian hip hop'; 'italian pop'; 'trap italiana']
BUBBLE (feat. thasup & Salmo),Takagi & Ketra,76UCIJTB0jcJvBaL0CdIqx,BUBBLE (feat. thasup & Salmo),2023-02-23 12:25,164327,3fIB4IEcvjlzItwnFUvIBk,https://i.scdn.co/image/ab67616d00001e02298c0e2c8d980a62c77c11be,0z3v96iyxiboop7dngb52qob0,['italian adult pop'; 'italian pop']
0ffline (feat. bbno$),thasup,19i93sA0D7yS9dYoVNBqAA,23 6451,2023-02-23 12:29,201094,6ZWsKJdmoYu1oFJbzCmtK9,https://i.scdn.co/image/ab67616d00001e0258010f854f0b1052a934500f,0z3v96iyxiboop7dngb52qob0,['italian hip hop'; 'italian pop'; 'trap italiana']
SOLITE PARE (feat. thasup & Sfera Ebbasta),Sick Luke,0hk4xVujcyOr6USD95wcWb,X2,2023-02-23 12:32,211660,0PQxC8NHgiKXLK3Zm6QoCj,https://i.scdn.co/image/ab67616d00001e02e45f97fc68a12ca3601b1047,0z3v96iyxiboop7dngb52qob0,['italian hip hop'; 'italian indie pop'; 'trap italiana']
Calling My Name,Drake,3TVXtAsR1Inumwj472S9r4,Honestly; Nevermind,2023-02-23 12:37,129964,7sT7kZEYd1MrmzLLIRVZas,https://i.scdn.co/image/ab67616d00001e028dc0d801766a5aa6a33cbe37,0z3v96iyxiboop7dngb52qob0,['canadian hip hop'; 'canadian pop'; 'hip hop'; 'rap'; 'toronto rap']
Sticky,Drake,3TVXtAsR1Inumwj472S9r4,Honestly; Nevermind,2023-02-23 12:41,243227,4rmVZajAF7PkrCagGPHbqa,https://i.scdn.co/image/ab67616d00001e028dc0d801766a5aa6a33cbe37,0z3v96iyxiboop7dngb52qob0,['canadian hip hop'; 'canadian pop'; 'hip hop'; 'rap'; 'toronto rap']
Massive,Drake,3TVXtAsR1Inumwj472S9r4,Honestly; Nevermind,2023-02-23 12:46,336924,28JBD8p18xNuOfyV7Cotdn,https://i.scdn.co/image/ab67616d00001e028dc0d801766a5aa6a33cbe37,0z3v96iyxiboop7dngb52qob0,['canadian hip hop'; 'canadian pop'; 'hip hop'; 'rap'; 'toronto rap']
8rosk1 ; feat. Mahmood,thasup,19i93sA0D7yS9dYoVNBqAA,23 6451,2023-02-23 13:27,171733,1QNKZT93PI9CZJ7FWFEinb,https://i.scdn.co/image/ab67616d00001e0258010f854f0b1052a934500f,0z3v96iyxiboop7dngb52qob0,['italian hip hop'; 'italian pop'; 'trap italiana']
no14 ; feat. Dani Faiv,thasup,19i93sA0D7yS9dYoVNBqAA,23 6451,2023-02-23 13:33,176440,6EGg8wngFbfTskeu05o6hM,https://i.scdn.co/image/ab67616d00001e0258010f854f0b1052a934500f,0z3v96iyxiboop7dngb52qob0,['italian hip hop'; 'italian pop'; 'trap italiana']
Rumble,Skrillex,5he5w2lnU9x7JFhnwcekXX,Rumble,2023-02-24 08:49,146571,1GfBLbAhZUWdseuDqhocmn,https://i.scdn.co/image/ab67616d00001e02352f154c54727bc8024629bc,0z3v96iyxiboop7dngb52qob0,['brostep'; 'complextro'; 'edm'; 'electro']
Again (feat. Ms. Dynamite; Ms Banks & Jaykae) ; Mixed,CLIPZ,6b0TSaLAeLXilOPoId8udE,Honey; I Shrunk The Rave; Vol. 1 (DJ Mix),2023-02-24 08:51,66278,0Rr4FEtOPThHlfr3unkm0S,https://i.scdn.co/image/ab67616d00001e02f07e05a5fa375695199951b5,0z3v96iyxiboop7dngb52qob0,['uk dnb']
Rumble,Skrillex,5he5w2lnU9x7JFhnwcekXX,Quest For Fire,2023-02-24 08:53,146571,74fmYjFwt9CqEFAh8ybeBD,https://i.scdn.co/image/ab67616d00001e0220fb9ff375c6e8b920cbb2ca,0z3v96iyxiboop7dngb52qob0,['brostep'; 'complextro'; 'edm'; 'electro']
Turn On The Lights again.. (feat. Future),Fred again..,4oLeXFyACqeem2VImYeBFe,USB,2023-02-24 08:58,267946,3pBpX15YF0hdlRz2ddfSh2,https://i.scdn.co/image/ab67616d00001e02f53460be9a3f788777b0fe5c,0z3v96iyxiboop7dngb52qob0,['edm'; 'house']
Delilah (pull me out of this),Fred again..,4oLeXFyACqeem2VImYeBFe,Actual Life 3 (January 1 ; September 9 2022),2023-02-24 09:06,250702,5w9upngVRHNjdZcRC7Xxr2,https://i.scdn.co/image/ab67616d00001e027622b889949b07f15c6b57e2,0z3v96iyxiboop7dngb52qob0,['edm'; 'house']
mar+e,thasup,19i93sA0D7yS9dYoVNBqAA,c@ra++ere s?ec!@le,2023-02-27 13:58,163816,1bQHZHNELY2uBOrOSRMXSr,https://i.scdn.co/image/ab67616d00001e0290160a76ca2d3f0c101037f5,0z3v96iyxiboop7dngb52qob0,['italian hip hop'; 'italian pop'; 'trap italiana']
